,0,1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,56,57
135,51,52
136,84,85
137,7,9
138,61,62
139,19,20
140,54,55
141,60,138
142,126,127
143,1,3
144,71,72
145,91,94
146,17,18
147,130,133
148,13,16
149,81,83
150,47,48
151,121,123
152,92,93
153,22,24
154,23,25
155,31,32
156,108,109
157,0,4
158,128,147
159,111,112
160,116,117
161,119,120
162,6,10
163,37,38
164,75,76
165,97,102
166,45,46
167,53,135
168,82,149
169,29,30
170,145,152
171,65,66
172,42,43
173,50,150
174,14,146
175,12,148
176,143,157
177,107,159
178,124,125
179,153,154
180,166,173
181,21,139
182,77,164
183,26,27
184,110,156
185,99,100
186,70,74
187,129,158
188,86,87
189,39,41
190,8,162
191,59,68
192,33,69
193,118,122
194,131,132
195,64,67
196,40,163
197,79,168
198,104,115
199,140,167
200,165,185
201,49,180
202,5,137
203,171,186
204,88,89
205,106,113
206,63,144
207,28,183
208,114,178
209,90,95
210,11,181
211,98,205
212,78,204
213,44,201
214,187,208
215,58,191
216,34,172
217,73,209
218,174,175
219,161,193
220,177,184
221,192,215
222,136,198
223,190,202
224,142,194
225,96,200
226,141,203
227,151,219
228,189,210
229,195,212
230,182,199
231,105,188
232,179,216
233,160,217
234,35,169
235,197,206
236,211,225
237,15,80
238,229,231
239,176,207
240,214,224
241,222,233
242,155,196
243,36,234
244,221,230
245,2,243
246,213,235
247,134,242
248,220,236
249,218,228
250,232,247
251,170,238
252,101,237
253,239,250
254,103,245
255,226,246
256,241,251
257,240,248
258,223,249
259,252,255
260,227,256
261,244,253
262,258,261
263,257,260
264,259,262
265,254,264
266,263,265
